MOLREGNO	MOL_TYPE	MOL_CHEMBL_ID	SMILE	ASSAYS	TID	TID_CHEMBL_ID	ACCESION	TAX_ID	STD_TYPE	VALUE_UM	PCHEMBL_VALUE	CLASS
2212422	Small molecule	CHEMBL4072511	O=C(NCCO)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)c(NC(=O)C4CC4)c3)cc1OC2	2	10188	CHEMBL260	Q16539	9606	IC50	0.8187	6.705	1
2243397	Small molecule	CHEMBL4103486	CNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3cc(NC(=O)C4CC4)ccc3C)cc1CC2	2	10188	CHEMBL260	Q16539	9606	IC50	0.09055000000000002	7.25	1
1566692	Small molecule	CHEMBL2393104	OCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2	2	17018	CHEMBL4078	O42275	8005	IC50	0.022435	7.99	1
1566686	Small molecule	CHEMBL2393098	CCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2	2	17018	CHEMBL4078	O42275	8005	IC50	0.03475	7.475	1
1565943	Small molecule	CHEMBL2392362	COc1cccc(-c2ccnc(NCc3ccc(Cl)c(Cl)c3)n2)c1	2	12090	CHEMBL2292	Q13627	9606	IC50	5.237	5.285	1
1565943	Small molecule	CHEMBL2392362	COc1cccc(-c2ccnc(NCc3ccc(Cl)c(Cl)c3)n2)c1	2	30036	CHEMBL4203	Q9HAZ1	9606	IC50	3.769	5.42	1
1565708	Small molecule	CHEMBL2392129	O=C(O)CCNC(=O)/C=C/c1ccc(O)c(O)c1	2	102438	CHEMBL6135	B4URF0	382835	IC50	20.4	4.715	0
1565706	Small molecule	CHEMBL2392127	O=C(/C=C/c1ccc(O)c(O)c1)N[C@@H](Cc1ccccc1)C(=O)O	2	102438	CHEMBL6135	B4URF0	382835	IC50	38.5	4.415	0
1580721	Small molecule	CHEMBL2425605	COC[C@@H](Oc1cc(C[C@@H]2C[S@@+]([O-])C[C@H](NCc3cnn(CC(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F	2	12252	CHEMBL4822	P56817	9606	IC50	0.0725	7.295	1
1569838	Small molecule	CHEMBL2402249	CCOC(=O)c1cc(C#N)c(N2CCN(C(=O)NS(=O)(=O)c3ccc(Cl)cc3)CC2)nc1C(F)(F)F	2	176	CHEMBL2001	Q9H244	9606	IC50	0.0825	7.09	1
1575892	Small molecule	CHEMBL2414655	CN1CCN(C(=O)C[C@H]2CC[C@H](c3ccc(N4CCOc5ncnc(N)c5C4=O)cc3)CC2)CC1=O	2	101414	CHEMBL6009	O75907	9606	IC50	0.175	6.76	1
1575938	Small molecule	CHEMBL2414700	NC(=O)C[C@H]1CC[C@H](c2ccc(N3CCOc4ncnc(N)c4C3=O)cc2)CC1	2	101414	CHEMBL6009	O75907	9606	IC50	0.033	7.484999999999999	1
1581490	Small molecule	CHEMBL2426367	O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Oc2ccccc2)c1)N1CCC(N2CCCC2)CC1	2	103625	CHEMBL1287623	Q96JM7	9606	IC50	0.0555	7.26	1
1423629	Small molecule	CHEMBL2152946	O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2ccc(OC[C@@H](O)CO)cc21	4	10188	CHEMBL260	Q16539	9606	IC50	0.03425	7.592499999999999	1
